API,constrinf,constrinf_2,neuri,symbolic,constrinf,constrinf_2,neuri,symbolic
tf.raw_ops.LogicalAnd.models,13821.0,11210.0,14045.0,10999.0,231.0,20.0,523.0,3264.0
tf.raw_ops.LogicalNot.models,11973.0,9482.0,11344.0,10999.0,1287.0,1986.0,3494.0,3599.0
tf.raw_ops.LogicalOr.models,14520.0,12769.0,14120.0,10998.0,621.0,256.0,795.0,3378.0
tf.raw_ops.MatMul.models,16046.0,14016.0,16439.0,10999.0,1120.0,788.0,2208.0,2695.0
tf.raw_ops.Max.models,11943.0,0.0,13462.0,10998.0,908.0,0.0,1164.0,3359.0
tf.raw_ops.Maximum.models,14410.0,12147.0,13798.0,10999.0,849.0,921.0,3161.0,3289.0
tf.raw_ops.Mean.models,11951.0,0.0,14146.0,11003.0,861.0,0.0,2878.0,3208.0
tf.raw_ops.Min.models,14058.0,10220.0,13189.0,10998.0,844.0,1787.0,3349.0,3717.0
tf.raw_ops.Minimum.models,14476.0,13139.0,13674.0,10998.0,524.0,203.0,2625.0,2798.0
tf.raw_ops.Mul.models,13947.0,12579.0,14698.0,11011.0,505.0,81.0,2601.0,2689.0
tf.raw_ops.MulNoNan.models,14848.0,,14259.0,10999.0,855.0,,3378.0,3794.0
tf.raw_ops.Multinomial.models,16761.0,,15080.0,11012.0,929.0,,75.0,3365.0
tf.raw_ops.Ndtri.models,13451.0,11772.0,13157.0,10997.0,1108.0,1502.0,2721.0,3418.0
tf.raw_ops.Neg.models,11973.0,9626.0,11025.0,10999.0,1530.0,1880.0,3107.0,3640.0
tf.raw_ops.NextAfter.models,15106.0,11050.0,14828.0,10999.0,174.0,4.0,2671.0,3240.0
tf.raw_ops.Polygamma.models,15767.0,,15278.0,10999.0,45.0,,1820.0,2454.0
tf.raw_ops.Rsqrt.models,12304.0,11978.0,11142.0,10999.0,1517.0,1687.0,3626.0,3790.0
tf.raw_ops.RsqrtGrad.models,14624.0,0.0,13670.0,10999.0,501.0,0.0,2080.0,2282.0
tf.raw_ops.Select.models,14029.0,11425.0,13696.0,10998.0,482.0,1.0,42.0,3524.0
tf.raw_ops.SelectV2.models,14188.0,0.0,13999.0,10979.0,740.0,0.0,50.0,3264.0
tf.raw_ops.Selu.models,0.0,0.0,12152.0,11001.0,0.0,0.0,2867.0,3328.0
tf.raw_ops.SeluGrad.models,0.0,12060.0,13815.0,10999.0,0.0,120.0,3162.0,3856.0
tf.raw_ops.Sigmoid.models,0.0,0.0,12002.0,10999.0,0.0,0.0,3438.0,4005.0
tf.raw_ops.SigmoidGrad.models,14205.0,,13659.0,10998.0,509.0,,2570.0,3317.0
tf.raw_ops.Sign.models,11973.0,11961.0,11016.0,10999.0,1522.0,1648.0,3373.0,3899.0
tf.raw_ops.Sin.models,0.0,0.0,11002.0,10999.0,0.0,0.0,3406.0,3933.0
tf.raw_ops.Sinh.models,0.0,0.0,12547.0,10999.0,0.0,0.0,3003.0,3626.0
tf.raw_ops.Snapshot.models,11963.0,8608.0,11031.0,10999.0,1598.0,1888.0,3128.0,3303.0
tf.raw_ops.Softmax.models,0.0,0.0,13703.0,10999.0,0.0,0.0,2717.0,3353.0
tf.raw_ops.SoftmaxCrossEntropyWithLogits.models,0.0,0.0,13896.0,10999.0,0.0,0.0,3039.0,3697.0
tf.raw_ops.Softplus.models,0.0,0.0,12469.0,10999.0,0.0,0.0,3312.0,3849.0
tf.raw_ops.Softsign.models,0.0,0.0,12028.0,11004.0,0.0,0.0,2863.0,3263.0
tf.raw_ops.SoftsignGrad.models,0.0,0.0,13930.0,11534.0,0.0,0.0,2484.0,2751.0
tf.raw_ops.Split.models,12291.0,9824.0,11271.0,11007.0,1522.0,1206.0,26.0,3849.0
tf.raw_ops.Sqrt.models,0.0,0.0,11163.0,10999.0,0.0,0.0,3221.0,3621.0
tf.raw_ops.SqrtGrad.models,14777.0,,14292.0,10999.0,1089.0,,2989.0,3355.0
tf.raw_ops.Square.models,12105.0,10417.0,11144.0,11001.0,1386.0,1522.0,2737.0,2844.0
tf.raw_ops.SquaredDifference.models,14108.0,12097.0,13753.0,10999.0,790.0,57.0,3154.0,3668.0
tf.raw_ops.Squeeze.models,12371.0,9020.0,11864.0,11004.0,1346.0,1374.0,1067.0,3187.0
tf.raw_ops.StopGradient.models,11966.0,8613.0,11337.0,11016.0,1462.0,1629.0,3092.0,2974.0
tf.raw_ops.Sub.models,14578.0,12238.0,14557.0,10998.0,593.0,116.0,2267.0,2888.0
tf.raw_ops.Sum.models,13516.0,,15577.0,10998.0,570.0,,675.0,3297.0
tf.raw_ops.Tan.models,0.0,0.0,11278.0,10999.0,0.0,0.0,3205.0,3744.0
tf.raw_ops.Tanh.models,0.0,0.0,11183.0,10999.0,0.0,0.0,2904.0,3426.0
tf.raw_ops.TanhGrad.models,14241.0,,13648.0,11522.0,597.0,,2759.0,3165.0
tf.raw_ops.Transpose.models,12614.0,,12511.0,10969.0,1156.0,,889.0,3598.0
tf.raw_ops.TruncateDiv.models,14719.0,9544.0,12076.0,10998.0,1096.0,50.0,3057.0,3842.0
tf.raw_ops.TruncateMod.models,14850.0,,12127.0,10999.0,812.0,,2795.0,3699.0
