API,constrinf,constrinf_2,neuri,symbolic,constrinf.1,constrinf_2.1,neuri.1,symbolic.1
tf.raw_ops.StridedSlice.models,14196.0,,12394.0,12411.0,876.0,,10.0,3324.0
tf.raw_ops.Sub.models,14578.0,12238.0,14557.0,10998.0,593.0,116.0,2267.0,2888.0
tf.raw_ops.Sum.models,13516.0,,15577.0,10998.0,570.0,,675.0,3297.0
tf.raw_ops.Tan.models,14259.0,12569.0,11278.0,10999.0,1496.0,1939.0,3205.0,3744.0
tf.raw_ops.Tanh.models,14114.0,14021.0,11183.0,10999.0,1667.0,1787.0,2904.0,3426.0
tf.raw_ops.TanhGrad.models,14241.0,,13648.0,11522.0,597.0,,2759.0,3165.0
tf.raw_ops.TensorScatterUpdate.models,13633.0,13529.0,18291.0,12398.0,817.0,1085.0,1419.0,1682.0
tf.raw_ops.TensorStridedSliceUpdate.models,13647.0,13641.0,14358.0,12398.0,1086.0,1621.0,2377.0,2780.0
tf.raw_ops.Tile.models,12978.0,13161.0,12790.0,12398.0,143.0,1218.0,1579.0,1852.0
tf.raw_ops.TopKV2.models,12748.0,13691.0,14871.0,12932.0,419.0,1711.0,4.0,2668.0
tf.raw_ops.Transpose.models,12614.0,,12511.0,10969.0,1156.0,,889.0,3598.0
tf.raw_ops.TruncateDiv.models,14719.0,9544.0,12076.0,10998.0,1096.0,50.0,3057.0,3842.0
tf.raw_ops.TruncateMod.models,14850.0,,12127.0,10999.0,812.0,,2795.0,3699.0
tf.raw_ops.Unique.models,13718.0,13621.0,12398.0,12399.0,1237.0,1058.0,1553.0,1771.0
tf.raw_ops.Unpack.models,13288.0,,13345.0,12412.0,1129.0,,125.0,3552.0
tf.raw_ops.UpperBound.models,15939.0,13693.0,16075.0,12398.0,1300.0,1331.0,909.0,3210.0
tf.raw_ops.Where.models,20770.0,13730.0,12632.0,12929.0,21.0,1405.0,6.0,2176.0
tf.raw_ops.Xdivy.models,14710.0,13189.0,14613.0,12398.0,182.0,340.0,2008.0,2251.0
tf.raw_ops.Xlog1py.models,15577.0,13626.0,14707.0,12398.0,858.0,1640.0,2249.0,2631.0
tf.raw_ops.Xlogy.models,15750.0,13699.0,14645.0,12415.0,767.0,1077.0,1724.0,1959.0
tf.raw_ops.ZerosLike.models,14578.0,13715.0,13336.0,12398.0,1568.0,1566.0,2625.0,2574.0
tf.raw_ops.Zeta.models,15065.0,13709.0,15027.0,12397.0,18.0,1540.0,1477.0,2564.0
tf.reshape.models,13690.0,13707.0,13268.0,13161.0,829.0,1160.0,14.0,17.0
tf.reverse.models,13903.0,13643.0,12810.0,12811.0,358.0,1129.0,29.0,29.0
tf.round.models,13731.0,13723.0,12933.0,12957.0,1356.0,1353.0,2337.0,2811.0
tf.sigmoid.models,14706.0,14692.0,14203.0,14203.0,1697.0,1717.0,2203.0,2637.0
tf.sqrt.models,14076.0,14127.0,12398.0,12935.0,1754.0,1685.0,2497.0,2883.0
tf.squeeze.models,14422.0,13697.0,12917.0,12917.0,1047.0,1572.0,2253.0,2892.0
tf.tan.models,14252.0,14267.0,13544.0,13543.0,1855.0,1768.0,2502.0,3032.0
tf.transpose.models,14644.0,14619.0,13309.0,13564.0,1129.0,853.0,6.0,10.0
tf.where.models,14716.0,14482.0,14827.0,14000.0,379.0,330.0,54.0,22.0
