API,constrinf,constrinf_2,neuri,symbolic,constrinf.1,constrinf_2.1,neuri.1,symbolic.1
tf.raw_ops.ArgMin.models,13704.0,13638.0,14788.0,12398.0,983.0,1817.0,2554.0,3008.0
tf.raw_ops.Asin.models,15061.0,13302.0,11777.0,10999.0,1598.0,1776.0,3221.0,3623.0
tf.raw_ops.Asinh.models,15245.0,13422.0,12580.0,10999.0,1368.0,1663.0,2476.0,2919.0
tf.raw_ops.Atan.models,14961.0,14800.0,11749.0,10998.0,1615.0,1719.0,3044.0,3520.0
tf.raw_ops.Atan2.models,15094.0,12472.0,13914.0,10999.0,1117.0,20.0,3106.0,3403.0
tf.raw_ops.Atanh.models,15084.0,13323.0,12310.0,10992.0,1480.0,1701.0,2697.0,3133.0
tf.raw_ops.AvgPool.models,13698.0,13640.0,14197.0,12397.0,826.0,1366.0,1678.0,2007.0
tf.raw_ops.AvgPool3D.models,13605.0,13706.0,15183.0,12397.0,1102.0,1681.0,1445.0,2645.0
tf.raw_ops.BatchMatMulV2.models,16070.0,15313.0,15773.0,10999.0,722.0,257.0,90.0,3053.0
tf.raw_ops.BatchMatMulV3.models,13706.0,13715.0,12397.0,12398.0,802.0,1463.0,6.0,2281.0
tf.raw_ops.BesselI0e.models,13356.0,,12517.0,10972.0,1355.0,,2798.0,3432.0
tf.raw_ops.BesselI1e.models,13330.0,11562.0,12478.0,11013.0,909.0,674.0,2426.0,2930.0
tf.raw_ops.Betainc.models,18414.0,16532.0,18060.0,10998.0,675.0,6.0,2273.0,3256.0
tf.raw_ops.BiasAdd.models,14025.0,12064.0,13885.0,10998.0,769.0,43.0,3139.0,3600.0
tf.raw_ops.BiasAddGrad.models,14088.0,12048.0,13281.0,11007.0,1178.0,142.0,2600.0,3110.0
tf.raw_ops.Bincount.models,13629.0,13710.0,12788.0,12397.0,1135.0,1766.0,23.0,2830.0
tf.raw_ops.BitwiseAnd.models,13818.0,12323.0,14172.0,10998.0,178.0,108.0,2915.0,3232.0
tf.raw_ops.BitwiseOr.models,14024.0,12567.0,14348.0,10952.0,604.0,48.0,3012.0,3306.0
