API,constrinf,constrinf_2,neuri,symbolic,constrinf,constrinf_2,neuri,symbolic
torch.any.models,38114,38003,37714,36855,3283,1936,265,58327
torch.argmax.models,38051,38077,37730,36858,1305,810,55,12974
torch.argmin.models,38081,37590,37761,36864,2110,2063,262,25778
torch.argsort.models,38112,38092,37772,36839,1407,1770,135,14230
torch.argwhere.models,38015,38045,37675,36858,2088,1375,90,18588
torch.as_strided.models,38136,37946,37865,36859,2360,1291,40,20711
torch.as_tensor.models,37901,37882,37040,36853,1160,178,78,18600
torch.asin.models,38045,37997,36968,36853,5407,2533,166,38310
torch.atan.models,38037,37992,36953,36868,4825,1803,72,32764
torch.atan2.models,38156,38155,37385,36858,3164,2669,130,35721
torch.atanh.models,38001,37971,37620,36853,1795,2140,128,19217
torch.atleast_2d.models,38013,38050,37538,36844,1582,1761,11,19191
torch.atleast_3d.models,38106,38047,37784,36857,1270,1437,38,13577
torch.bernoulli.models,37899,37572,37663,36860,74,440,230,42530
torch.bitwise_and.models,38204,38206,38066,36852,3374,4163,376,54818
torch.bitwise_left_shift.models,38187,38216,38016,36857,2830,4623,291,85232
torch.bitwise_not.models,38004,37992,37629,36860,2442,1875,17991,30467
torch.bitwise_or.models,38198,38237,38062,36856,1788,2502,272,44202
torch.bitwise_right_shift.models,38184,38159,38012,36861,1555,1611,160,27459
torch.bitwise_xor.models,38409,38200,38057,36845,3482,3764,222,48283
torch.bucketize.models,38147,38129,37997,36835,1847,1422,118,26056
torch.cholesky_inverse.models,37957,36823,36939,36838,1212,1045,56,13111
torch.clamp.models,38396,37977,38143,36837,3765,3503,156,47029
torch.clamp_.models,38178,37890,38040,36862,1336,1122,111,13449
torch.clamp_max.models,38169,38157,38103,36838,2512,1364,189,44032
torch.clamp_max_.models,38098,38122,37720,36866,2190,1688,49,13358
torch.clamp_min.models,38190,38177,38090,36853,2613,2255,161,29589
torch.clamp_min_.models,38116,38020,37700,36862,2159,1964,36,20431
