API,constrinf,constrinf_2,neuri,symbolic,constrinf,constrinf_2,neuri,symbolic
torch.conj_physical.models,38026,38067,37617,36846,1199,900,9029,13463
torch.copysign.models,38176,38198,38082,36860,4866,5637,185,66722
torch.cos.models,38005,37946,36955,36861,2984,2181,83,32570
torch.cosh.models,38033,37987,36952,36843,4617,2547,112,32150
torch.cosine_embedding_loss.models,38229,38260,36943,36862,2419,1444,62,20769
torch.cosine_similarity.models,38042,38337,37833,36853,1001,861,41,13523
torch.count_nonzero.models,38183,38037,37811,36848,2882,3072,96,32161
torch.cov.models,38254,37959,37864,36855,1403,1363,104,19368
torch.cross.models,38094,38056,36926,36849,1304,1044,69,14158
torch.cummax.models,38056,38018,37692,36860,954,1578,47,15554
torch.cummin.models,38054,38004,37707,36861,800,1638,59,14448
torch.cumprod.models,38349,37939,37760,36856,3698,2027,200,30926
torch.cumsum.models,38077,38081,37759,36855,2332,2529,116,33630
torch.cumulative_trapezoid.models,38299,38244,38174,36860,1843,1542,57,14262
torch.deg2rad.models,38239,38038,37651,36847,4929,3671,145,35564
torch.diag.models,38111,38053,36949,36847,2880,2312,148,28223
torch.diag_embed.models,38046,37742,36941,36856,343,308,117,15672
torch.diagflat.models,37943,37929,36938,36842,11,1298,60,19152
torch.diagonal.models,38154,38163,37857,36841,1222,1165,98,16110
torch.diagonal_copy.models,38028,37995,37721,36836,3046,2053,90,28034
torch.diff.models,38329,38224,38103,36848,1333,1046,51,15681
torch.div.models,38355,38238,38313,37497,5169,4124,540,67494
torch.float_power.models,38257,38161,38121,36863,2576,806,112,28679
torch.floor.models,37977,37978,36961,36859,3178,2362,363,32655
torch.floor_divide.models,38164,38245,38150,36841,4394,2550,986,68324
torch.fmax.models,38176,38191,38034,36852,2630,1797,163,28432
torch.fmin.models,38091,38109,38048,36843,4204,2801,165,35254
torch.ge.models,38162,38216,37490,36848,4146,2941,208,44088
torch.geqrf.models,37923,37975,36960,36854,1047,851,340,13560
torch.gradient.models,38231,38225,37881,36852,695,2584,127,31225
torch.gt.models,38196,38201,37534,37381,4248,4889,26950,48433
torch.heaviside.models,38067,38117,38009,36838,2053,1442,71,18280
torch.histc.models,38215,38115,37817,36857,1972,1471,90,15701
torch.histogram.models,38339,36786,37881,36853,690,1012,25,15750
torch.hsplit.models,38247,38217,36940,36860,2148,1559,64,14499
torch.i0.models,37995,37896,37614,36849,1415,1064,43,13828
torch.igamma.models,38178,38162,38041,36856,1147,998,84,14539
torch.isin.models,38546,38537,38303,36857,1451,1390,329,74862
torch.isneginf.models,37996,37832,37635,36846,1396,1033,1726,15482
torch.kron.models,38128,38002,37924,36854,75,820,80,14502
torch.lerp.models,38307,37947,37535,36864,617,1263,73,19544
torch.log10.models,38016,38023,36958,36855,4713,3563,100,31868
torch.lt.models,38059,38168,37531,37373,5014,1691,27620,51886
torch.margin_ranking_loss.models,38196,38245,38016,36864,2266,970,56,18788
torch.masked_fill.models,38117,38170,38090,36860,2221,2310,101,32420
torch.masked_scatter.models,38136,37940,36952,36839,1145,1373,62,21090
torch.moveaxis.models,38237,38187,37935,36860,4564,3336,766,32935
torch.movedim.models,38253,38126,37914,36858,3490,3375,1241,29497
torch.msort.models,38106,38019,37717,36845,3143,2072,124,35329
torch.mul.models,38254,38398,37745,37652,3128,2522,467,35449
torch.mvlgamma.models,38147,38347,37761,36846,2382,2819,151,27425
torch.nan_to_num.models,38018,38041,37742,36859,4139,3242,17616,26994
torch.nanmean.models,38141,38134,37861,36861,1179,640,186,14672
torch.nanmedian.models,38179,37994,37794,36844,2485,2842,89,32597
torch.nanquantile.models,38464,38221,38035,36867,1147,1049,83,14399
torch.ne.models,38186,38136,37514,36856,1175,2076,86,21711
torch.neg.models,38228,37976,36989,36946,2846,2120,164,19157
torch.nextafter.models,38065,38134,38004,36848,1418,925,82,13260
torch.nonzero.models,38092,38061,37727,36856,2504,1871,80,37342
torch.ones_like.models,38052,38041,37771,36865,353,200,84,4330
torch.pow.models,38213,38025,38215,36862,3100,3487,308,32270
torch.rad2deg.models,38018,37850,37649,36835,2772,2012,103,29175
torch.ravel.models,38076,38042,37688,36852,1874,888,138,14272
torch.real.models,38208,37970,37697,36853,2492,1848,87,19276
torch.reciprocal.models,38012,38035,36974,36865,1257,979,31,14635
torch.relu.models,38011,37968,36972,36833,1713,1432,133,14045
torch.relu_.models,38024,38005,37652,36860,735,552,157,5694
torch.remainder.models,38219,38186,38119,36860,5410,4570,274,52523
torch.select_scatter.models,38206,37998,37996,36855,1351,1096,60,21753
torch.sgn.models,37948,37990,37651,36850,5036,2393,21561,33421
torch.sigmoid.models,38004,37988,36976,36860,4374,1715,272,32379
torch.sigmoid_.models,37985,37982,37631,36857,2320,1619,99,15438
torch.sign.models,38007,37989,37648,36850,4980,2416,22350,35406
torch.sin.models,37922,37968,36942,36837,4072,1684,115,29060
torch.sinc.models,37987,37946,37616,36862,4070,2143,73,29392
torch.sinh.models,37936,38018,36962,36861,2029,2162,88,27811
torch.softmax.models,38061,38019,37729,36837,3383,3451,120,28034
torch.sqrt.models,38064,38050,36969,36864,614,533,256,11327
torch.square.models,37998,37950,37601,36851,2217,1082,39,14554
torch.squeeze.models,37981,38070,37752,36857,3007,3630,1034,30810
torch.std.models,38384,38222,37880,36867,929,5596,250,59840
torch.std_mean.models,38122,38107,37869,36850,1449,3714,143,28271
torch.sub.models,38263,38367,37827,37716,3402,2788,246,47902
torch.subtract.models,38320,38237,37595,36852,2782,2240,281,28122
torch.sum.models,38085,38173,37948,36851,532,2953,621,21159
torch.take.models,38019,37925,36949,36858,59,62,187,29534
torch.tan.models,38034,38016,36960,36862,4405,3753,108,31195
torch.tanh.models,38036,37984,36969,36844,4769,2411,187,32271
torch.tanh_.models,38197,37971,37614,36834,2284,1638,41,14095
torch.threshold.models,38000,38016,37025,36867,3212,2422,129,31874
torch.threshold_.models,37981,38012,36928,36854,2173,1541,33,15886
torch.tile.models,38128,37783,37827,36862,23,9,43,10895
torch.var_mean.models,38094,38119,37873,36843,2275,5929,280,46093
torch.view_as_complex.models,38283,37548,37674,36862,1686,1050,75,13904
torch.view_copy.models,38279,38072,36925,36840,726,417,75,19196
torch.vsplit.models,38193,38178,36944,36860,4801,3479,100,32737
torch.xlogy.models,38278,38201,38075,36855,7539,6386,435,67873
torch.zero_.models,37996,37990,37627,36860,2727,1944,65,21862
torch.zeros_like.models,37940,37576,37753,36845,758,173,280,18223
