API,constrinf,constrinf_2,neuri,symbolic,constrinf.1,constrinf_2.1,neuri.1,symbolic.1
torch.Tensor.prod.models,38082.0,37549.0,37742.0,36865.0,909.0,1078.0,170.0,8472.0
torch.Tensor.argmin.models,38081.0,37612.0,37778.0,37728.0,159.0,119.0,44.0,107.0
torch.Tensor.ravel.models,38083.0,37608.0,37692.0,36848.0,864.0,759.0,66.0,9446.0
torch.Tensor.argsort.models,38208.0,37708.0,36942.0,36874.0,285.0,326.0,53.0,386.0
torch.Tensor.reciprocal.models,37941.0,36935.0,36966.0,36856.0,1090.0,1496.0,74.0,8772.0
torch.Tensor.reciprocal_.models,38077.0,37500.0,37629.0,36851.0,910.0,1934.0,79.0,9690.0
torch.Tensor.argwhere.models,37971.0,37563.0,36960.0,36857.0,68.0,42.0,95.0,163.0
torch.Tensor.relu.models,37967.0,36921.0,36937.0,36857.0,1155.0,1704.0,69.0,10254.0
torch.Tensor.as_strided.models,38255.0,37835.0,37858.0,36858.0,106.0,100.0,16.0,182.0
torch.Tensor.relu_.models,37975.0,37526.0,37610.0,36847.0,1121.0,1471.0,60.0,9808.0
torch.Tensor.as_strided_.models,38090.0,37617.0,37827.0,36868.0,124.0,650.0,46.0,193.0
torch.Tensor.asin.models,37921.0,36882.0,36964.0,36847.0,59.0,52.0,52.0,131.0
torch.Tensor.remainder_.models,38148.0,,36935.0,36841.0,740.0,,50.0,9361.0
torch.Tensor.asin_.models,37939.0,37518.0,37643.0,36861.0,90.0,101.0,60.0,299.0
torch.Tensor.repeat.models,37692.0,,37819.0,36850.0,5.0,,126.0,9609.0
torch.Tensor.asinh.models,37935.0,37509.0,36952.0,36867.0,97.0,134.0,61.0,218.0
torch.Tensor.reshape.models,38195.0,,37859.0,37847.0,513.0,,26.0,21.0
torch.Tensor.reshape_as.models,38271.0,38060.0,38059.0,36862.0,603.0,198.0,42.0,8517.0
torch.Tensor.atan.models,37914.0,36887.0,36959.0,36877.0,78.0,62.0,70.0,216.0
torch.Tensor.resolve_conj.models,38038.0,37495.0,37650.0,36861.0,795.0,1198.0,937.0,8257.0
torch.Tensor.atan2.models,38083.0,37383.0,37357.0,36856.0,77.0,78.0,52.0,190.0
torch.Tensor.atan2_.models,38373.0,38155.0,37950.0,36867.0,127.0,67.0,53.0,153.0
torch.Tensor.rot90.models,38267.0,,36945.0,36858.0,762.0,,74.0,8583.0
