API,constrinf,constrinf_2,neuri,symbolic,constrinf,constrinf_2,neuri,symbolic
torch.Tensor.__and__.models,38139,36946,37383,36875,3000,1000,1000,6000
torch.Tensor.__iand__.models,38024,37860,37991,36865,1000,1000,1000,5000
torch.Tensor.__ior__.models,38125,37942,37988,36877,3000,1000,1000,6000
torch.Tensor.__ixor__.models,38310,38124,37926,36857,2000,2000,1000,4000
torch.Tensor.__lshift__.models,38039,37366,37031,36863,1000,1000,1000,2000
torch.Tensor.__or__.models,38110,37432,37478,36858,2000,1000,5000,3000
torch.Tensor.__rshift__.models,38088,37436,36939,36860,2000,2000,1000,2000
torch.Tensor.__xor__.models,38087,37409,37321,36878,2000,2000,1000,6000
torch.Tensor.abs.models,37957,36887,36960,36857,1000,2000,2000,4000
torch.Tensor.abs_.models,37976,37472,37657,36867,2000,2000,1000,2000
torch.Tensor.acos.models,37932,36864,36960,36855,1000,1000,1000,2000
torch.Tensor.acos_.models,38031,37536,37639,36870,2000,16000,1000,2000
torch.Tensor.acosh.models,37931,37548,36940,36859,1000,2000,1000,3000
torch.Tensor.add.models,38141,37521,37547,36866,2000,1000,1000,2000
torch.Tensor.add_.models,38388,38219,38460,36856,2000,2000,2000,3000
torch.Tensor.addbmm.models,37910,37879,36954,36857,1000,1000,1000,2000
torch.Tensor.addcdiv.models,38140,38110,36949,36861,2000,3000,1000,2000
torch.Tensor.addcdiv_.models,38373,37641,38082,36863,2000,1000,1000,4000
torch.Tensor.addcmul.models,38153,37411,37462,36859,2000,1000,1000,3000
torch.Tensor.addcmul_.models,38356,38181,38348,36857,2000,1000,1000,3000
torch.Tensor.addmm.models,38212,0,36938,36851,1000,0,1000,3000
torch.Tensor.addmm_.models,38100,38177,36953,36874,2000,1000,1000,5000
torch.Tensor.addmv.models,38195,37857,36955,36852,2000,1000,1000,3000
torch.Tensor.addmv_.models,38262,37747,37729,36878,3000,1000,2000,16000
torch.Tensor.addr.models,37927,0,36952,36857,2000,0,1000,5000
torch.Tensor.adjoint.models,38063,37593,37742,36857,1000,1000,1000,2000
torch.Tensor.all.models,37904,37495,37695,36852,1000,3000,1000,2000
torch.Tensor.amax.models,38026,37668,36953,36854,1000,3000,1000,2000
torch.Tensor.amin.models,38053,37623,36959,36855,2000,3000,1000,2000
torch.Tensor.aminmax.models,38103,37679,36940,36876,2000,2000,1000,4000
torch.Tensor.angle.models,37981,37566,36954,36867,2000,2000,1000,6000
torch.Tensor.any.models,38020,37543,37720,36867,2000,4000,1000,4000
torch.Tensor.argmax.models,38194,37693,37779,37720,3000,11000,1000,1000
torch.Tensor.argmin.models,38081,37612,37778,37728,2000,2000,1000,2000
torch.Tensor.argsort.models,38208,37708,36942,36874,3000,4000,1000,4000
torch.Tensor.argwhere.models,37971,37563,36960,36857,1000,1000,1000,2000
torch.Tensor.as_strided.models,38255,37835,37858,36858,2000,1000,1000,2000
torch.Tensor.as_strided_.models,38090,37617,37827,36868,2000,7000,1000,2000
torch.Tensor.asin.models,37921,36882,36964,36847,1000,1000,1000,2000
torch.Tensor.asin_.models,37939,37518,37643,36861,1000,2000,1000,3000
torch.Tensor.asinh.models,37935,37509,36952,36867,1000,2000,1000,3000
torch.Tensor.atan.models,37914,36887,36959,36877,1000,1000,1000,3000
torch.Tensor.atan2.models,38083,37383,37357,36856,1000,1000,1000,2000
torch.Tensor.atan2_.models,38373,38155,37950,36867,2000,1000,1000,2000
torch.Tensor.atan_.models,38008,37513,37634,36870,2000,2000,1000,3000
torch.Tensor.atanh.models,37996,37534,36940,36874,1000,2000,1000,3000
torch.Tensor.bitwise_and.models,38086,0,37996,36866,3000,0,1000,5000
torch.Tensor.bitwise_left_shift.models,38118,37943,36932,36857,2000,10000,1000,2000
torch.Tensor.bitwise_not.models,38048,37555,37627,36874,3000,13000,1000,4000
torch.Tensor.bitwise_not_.models,38049,37545,37623,36876,3000,18000,1000,10000
torch.Tensor.bitwise_or.models,38120,37969,38004,36860,1000,1000,1000,2000
torch.Tensor.bitwise_xor.models,38106,37965,37943,36863,2000,1000,1000,2000
torch.Tensor.bmm.models,38101,37854,38033,36864,1000,1000,2000,2000
torch.Tensor.broadcast_to.models,38200,37727,36879,36874,2000,4000,1000,6000
torch.Tensor.ceil.models,38004,36878,36954,36870,2000,1000,1000,3000
torch.Tensor.ceil_.models,37931,37480,37629,36863,1000,1000,1000,3000
torch.Tensor.cholesky.models,37998,37541,36949,36862,2000,3000,1000,3000
torch.Tensor.cholesky_inverse.models,38056,32804,36954,36856,2000,1000,1000,3000
torch.Tensor.cholesky_solve.models,38019,32863,36941,36870,2000,16000,1000,4000
torch.Tensor.chunk.models,38266,37844,37868,36870,2000,2000,1000,3000
torch.Tensor.clamp.models,37713,36949,37094,36867,2000,1000,1000,3000
torch.Tensor.clamp_.models,37954,37654,37765,36870,1000,2000,2000,3000
torch.Tensor.clamp_max.models,37978,37559,37712,36869,2000,2000,1000,3000
torch.Tensor.clamp_max_.models,38016,37608,37701,36860,1000,2000,1000,2000
torch.Tensor.clamp_min.models,38024,37628,37698,36872,2000,2000,1000,4000
torch.Tensor.clamp_min_.models,38020,37601,37692,36874,2000,3000,1000,7000
torch.Tensor.conj.models,37990,36749,37716,36871,2000,2000,1000,3000
torch.Tensor.conj_physical.models,37600,37462,36944,36856,1000,2000,1000,2000
torch.Tensor.copysign.models,37993,37996,36950,36859,1000,1000,1000,2000
torch.Tensor.corrcoef.models,38264,37708,36907,36874,2000,3000,1000,4000
torch.Tensor.cos.models,37992,36908,36955,36851,2000,2000,1000,3000
torch.Tensor.cos_.models,37920,37504,37633,36855,1000,2000,1000,3000
torch.Tensor.cosh.models,38029,36914,36955,36857,2000,2000,1000,3000
torch.Tensor.cosh_.models,37910,37491,37644,36874,1000,1000,1000,2000
torch.Tensor.count_nonzero.models,38100,37776,36938,36878,3000,2000,1000,12000
torch.Tensor.cov.models,38202,38008,36953,36853,1000,2000,1000,2000
torch.Tensor.cummax.models,37986,37551,36940,36867,1000,1000,1000,3000
torch.Tensor.cummin.models,37960,37556,36945,36863,1000,1000,1000,3000
torch.Tensor.cumprod.models,38019,37661,36949,36860,1000,2000,1000,3000
torch.Tensor.cumsum.models,38023,37655,36961,36863,1000,1000,1000,2000
torch.Tensor.cumsum_.models,38074,37663,37723,36852,2000,2000,1000,3000
torch.Tensor.deg2rad.models,37868,37511,36957,36852,1000,1000,2000,2000
torch.Tensor.det.models,38019,37595,36934,36858,1000,1000,1000,4000
torch.Tensor.diag.models,38129,0,36938,36869,3000,0,1000,3000
torch.Tensor.diag_embed.models,38074,37586,36958,36873,1000,1000,1000,3000
torch.Tensor.diagflat.models,37663,0,36962,36864,1000,0,1000,3000
torch.Tensor.diagonal.models,38198,37771,37853,36871,2000,2000,1000,4000
torch.Tensor.diff.models,38105,38159,36945,36869,1000,1000,1000,2000
torch.Tensor.digamma.models,37912,37560,36926,36861,2000,2000,1000,3000
torch.Tensor.digamma_.models,37945,37522,36955,36860,2000,2000,1000,3000
torch.Tensor.dist.models,38176,38072,36951,36873,1000,3000,1000,3000
torch.Tensor.div.models,38136,37533,37880,36861,2000,1000,1000,4000
torch.Tensor.div_.models,38046,38207,38444,36874,2000,3000,2000,6000
torch.Tensor.divide.models,38203,37098,36960,36861,2000,1000,2000,6000
torch.Tensor.divide_.models,38323,38214,36942,36860,2000,8000,1000,3000
torch.Tensor.dot.models,38205,37751,36936,36870,3000,24000,1000,4000
torch.Tensor.dsplit.models,38127,37685,36939,36852,2000,9000,1000,3000
torch.Tensor.eq.models,38116,37418,37400,36866,2000,2000,1000,2000
torch.Tensor.erf.models,37921,36905,36940,36856,1000,1000,1000,2000
torch.Tensor.erf_.models,37879,37449,37638,36855,1000,1000,1000,2000
torch.Tensor.erfc.models,37994,36893,36935,36870,2000,2000,1000,3000
torch.Tensor.erfc_.models,37965,37472,37630,36858,1000,1000,1000,2000
torch.Tensor.erfinv.models,37896,37507,36959,36856,1000,1000,1000,2000
torch.Tensor.erfinv_.models,37981,37510,37655,36864,1000,1000,2000,2000
torch.Tensor.exp.models,37919,36834,36976,36863,1000,1000,1000,2000
torch.Tensor.exp2.models,37927,37542,36951,36858,2000,2000,1000,3000
torch.Tensor.exp_.models,37888,37467,37638,36866,1000,1000,1000,3000
torch.Tensor.expand.models,38329,36810,37357,37253,3000,1000,6000,3000
torch.Tensor.expand_as.models,38252,38018,38137,36855,2000,1000,1000,3000
torch.Tensor.expm1.models,37991,36883,36972,36851,2000,1000,2000,3000
torch.Tensor.expm1_.models,37931,37501,37595,36854,2000,1000,1000,3000
torch.Tensor.fill_.models,37991,37589,37752,36874,2000,2000,2000,4000
torch.Tensor.flatten.models,38140,37676,37823,37765,2000,6000,1000,1000
torch.Tensor.flip.models,37997,37603,37809,36857,1000,2000,2000,3000
torch.Tensor.fliplr.models,38008,37552,36940,36864,2000,2000,1000,3000
torch.Tensor.flipud.models,38011,37563,36942,36855,1000,1000,1000,2000
torch.Tensor.float_power.models,38091,37881,37736,36873,1000,1000,1000,2000
torch.Tensor.float_power_.models,38071,37609,37714,36863,2000,5000,1000,3000
torch.Tensor.floor.models,37984,36900,36951,36862,1000,2000,1000,3000
torch.Tensor.floor_.models,37910,37512,37626,36864,1000,2000,1000,2000
torch.Tensor.floor_divide.models,38069,37993,36940,36852,2000,2000,1000,2000
torch.Tensor.fmax.models,38083,38001,36944,36869,2000,2000,1000,4000
torch.Tensor.fmin.models,38109,37901,36932,36858,2000,1000,1000,3000
torch.Tensor.fmod.models,38099,37444,36958,36858,2000,7000,2000,4000
torch.Tensor.fmod_.models,38148,37933,36939,36856,2000,1000,1000,3000
torch.Tensor.frac.models,37979,36840,36959,36858,1000,1000,1000,3000
torch.Tensor.frac_.models,37949,37511,37637,36873,2000,3000,1000,6000
torch.Tensor.frexp.models,37957,37488,36952,36866,1000,1000,1000,2000
torch.Tensor.gather.models,38014,0,36947,36874,2000,0,1000,5000
torch.Tensor.lerp.models,38147,37410,37485,36876,2000,1000,1000,6000
torch.Tensor.lgamma.models,37955,36886,36961,36879,2000,1000,1000,3000
torch.Tensor.lgamma_.models,37920,37498,37626,36870,1000,1000,1000,2000
torch.Tensor.log.models,38027,36898,36968,36869,2000,2000,2000,4000
torch.Tensor.log10.models,37998,36910,36967,36868,2000,2000,1000,3000
torch.Tensor.log10_.models,38008,37499,37642,36862,2000,1000,1000,3000
